Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A10001_001,SE_A00001_001,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,PCT_SE_A10008_002,PCT_SE_A10008_003,PCT_SE_A10008_004,PCT_SE_A10008_005,PCT_SE_A10008_006,PCT_SE_A10008_007,PCT_SE_A10008_008,PCT_SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,PCT_SE_A10024_002,PCT_SE_A10024_003,PCT_SE_A10024_004,PCT_SE_A10024_005,PCT_SE_A10024_006,PCT_SE_A10024_007,PCT_SE_A10024_008,SE_A10003_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_B10060_001,SE_B10060_002,SE_B10060_003,PCT_SE_B10060_002,PCT_SE_B10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,PCT_SE_A10044_002,PCT_SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,PCT_SE_A10047_002,PCT_SE_A10047_003,PCT_SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,PCT_SE_A10055_002,PCT_SE_A10055_003,PCT_SE_A10055_004,PCT_SE_A10055_005,PCT_SE_A10055_006,PCT_SE_A10055_007,PCT_SE_A10055_008,PCT_SE_A10055_009,PCT_SE_A10055_010,PCT_SE_A10055_011,SE_A10036_001,SE_A18001_001,SE_A18001_002,SE_A18001_003,SE_A18001_004,SE_A18001_005,SE_A18001_006,SE_A18001_007,SE_A18001_008,SE_A18001_009,PCT_SE_A18001_002,PCT_SE_A18001_003,PCT_SE_A18001_004,PCT_SE_A18001_005,PCT_SE_A18001_006,PCT_SE_A18001_007,PCT_SE_A18001_008,PCT_SE_A18001_009,SE_A18009_001
"ACSSF","pa","140","00","0008817",,,,,"42","101",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000702","Census Tract 7.02",,,"Census Tract 7.02, Philadelphia County, Pennsylvania","42101000702","106191","7087",,,,,,,,1677,2181,1511,232,185,47,20,27,1279,733,546,15.35,12.24,3.11,1.32,1.79,84.65,48.51,36.14,1511,934,542,35,0,0,0,0,61.81,35.87,2.32,0,0,0,0,1.44,1511,294,1217,19.46,80.54,294,233,61,79.25,20.75,1677,1511,166,90.1,9.9,166,69,0,97,41.57,0,58.43,1677,156,17,139,111,32,176,94,47,1061,0,0,9.3,1.01,8.29,6.62,1.91,10.49,5.61,2.8,63.27,0,0,1511,0,148,21,53,63,540,37,197,68,384,0,9.79,1.39,3.51,4.17,35.74,2.45,13.04,4.5,25.41,250000,1217,0,0,37,79,150,50,154,747,0,0,3.04,6.49,12.33,4.11,12.65,61.38,2131
"ACSSF","pa","140","00","0008818",,,,,"42","101",,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000801","Census Tract 8.01",,,"Census Tract 8.01, Philadelphia County, Pennsylvania","42101000801","99957","12755",,,,,,,,1095,1670,952,385,339,46,13,33,567,188,379,40.44,35.61,4.83,1.37,3.47,59.56,19.75,39.81,952,328,529,27,52,0,9,7,34.45,55.57,2.84,5.46,0,0.95,0.74,1.75,952,286,666,30.04,69.96,286,253,33,88.46,11.54,1095,952,143,86.94,13.06,143,0,0,143,0,0,100,1095,186,18,168,43,28,111,6,26,695,0,0,16.99,1.64,15.34,3.93,2.56,10.14,0.55,2.37,63.47,0,0,952,0,51,39,45,66,39,143,23,17,529,0,5.36,4.1,4.73,6.93,4.1,15.02,2.42,1.79,55.57,662000,657,0,0,0,9,31,97,198,322,0,0,0,1.37,4.72,14.76,30.14,49.01,1984
"ACSSF","pa","140","00","0008819",,,,,"42","101",,,"000803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000803","Census Tract 8.03",,,"Census Tract 8.03, Philadelphia County, Pennsylvania","42101000803","152822","0",,,,,,,,2274,2916,1883,462,448,14,0,14,1421,588,833,24.54,23.79,0.74,0,0.74,75.46,31.23,44.24,1883,1026,714,111,13,19,0,0,54.49,37.92,5.89,0.69,1.01,0,0,1.55,1883,781,1102,41.48,58.52,781,702,79,89.88,10.12,2274,1883,391,82.81,17.19,391,230,45,116,58.82,11.51,29.67,2274,389,30,359,78,149,379,181,186,912,0,0,17.11,1.32,15.79,3.43,6.55,16.67,7.96,8.18,40.11,0,0,1883,0,0,14,83,236,56,171,217,87,1019,0,0,0.74,4.41,12.53,2.97,9.08,11.52,4.62,54.12,866400,1093,0,17,0,41,150,248,374,263,0,1.56,0,3.75,13.72,22.69,34.22,24.06,1621
"ACSSF","pa","140","00","0008820",,,,,"42","101",,,"000805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000805","Census Tract 8.05",,,"Census Tract 8.05, Philadelphia County, Pennsylvania","42101000805","72237","0",,,,,,,,2396,2532,1847,490,474,16,0,16,1357,633,724,26.53,25.66,0.87,0,0.87,73.47,34.27,39.2,1847,1249,511,72,15,0,0,0,67.62,27.67,3.9,0.81,0,0,0,1.37,1847,419,1428,22.69,77.31,419,269,150,64.2,35.8,2396,1847,549,77.09,22.91,549,367,49,133,66.85,8.93,24.23,2396,19,19,0,17,19,191,32,141,1977,0,0,0.79,0.79,0,0.71,0.79,7.97,1.34,5.88,82.51,0,0,1847,0,15,36,0,75,132,344,385,178,682,0,0.81,1.95,0,4.06,7.15,18.62,20.84,9.64,36.92,580900,1414,0,0,0,99,40,63,673,539,0,0,0,7,2.83,4.46,47.6,38.12,1875
"ACSSF","pa","140","00","0008821",,,,,"42","101",,,"000806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000806","Census Tract 8.06",,,"Census Tract 8.06, Philadelphia County, Pennsylvania","42101000806","73208","0",,,,,,,,1878,2227,1617,418,355,63,15,48,1199,538,661,25.85,21.95,3.9,0.93,2.97,74.15,33.27,40.88,1617,997,620,0,0,0,0,0,61.66,38.34,0,0,0,0,0,1.38,1617,445,1172,27.52,72.48,445,389,56,87.42,12.58,1878,1617,261,86.1,13.9,261,218,0,43,83.52,0,16.48,1878,48,0,48,14,0,9,16,86,1705,0,0,2.56,0,2.56,0.75,0,0.48,0.85,4.58,90.79,0,0,1617,0,24,0,48,211,928,83,74,14,235,0,1.48,0,2.97,13.05,57.39,5.13,4.58,0.87,14.53,461600,1172,0,0,0,0,0,22,400,750,0,0,0,0,0,1.88,34.13,63.99,2315
"ACSSF","pa","140","00","0008822",,,,,"42","101",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000901","Census Tract 9.01",,,"Census Tract 9.01, Philadelphia County, Pennsylvania","42101000901","105511","0",,,,,,,,1783,2073,1571,242,174,68,0,68,1329,756,573,15.4,11.08,4.33,0,4.33,84.6,48.12,36.47,1571,1111,435,25,0,0,0,0,70.72,27.69,1.59,0,0,0,0,1.32,1571,132,1439,8.4,91.6,132,38,94,28.79,71.21,1783,1571,212,88.11,11.89,212,153,0,59,72.17,0,27.83,1783,103,0,103,8,158,167,111,216,1008,12,0,5.78,0,5.78,0.45,8.86,9.37,6.23,12.11,56.53,0.67,0,1571,0,90,0,64,109,170,100,54,88,896,0,5.73,0,4.07,6.94,10.82,6.37,3.44,5.6,57.03,356400,1412,72,23,8,186,438,254,309,122,5.1,1.63,0.57,13.17,31.02,17.99,21.88,8.64,1238
"ACSSF","pa","140","00","0008823",,,,,"42","101",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000902","Census Tract 9.02",,,"Census Tract 9.02, Philadelphia County, Pennsylvania","42101000902","155167","0",,,,,,,,1518,2795,1433,554,506,48,48,0,879,265,614,38.66,35.31,3.35,3.35,0,61.34,18.49,42.85,1433,771,535,43,84,0,0,0,53.8,37.33,3,5.86,0,0,0,1.6,1433,230,1203,16.05,83.95,230,184,46,80,20,1518,1433,85,94.4,5.6,85,38,0,47,44.71,0,55.29,1518,183,8,175,86,80,123,130,51,865,0,0,12.06,0.53,11.53,5.67,5.27,8.1,8.56,3.36,56.98,0,0,1433,0,44,396,22,180,147,94,35,30,485,0,3.07,27.63,1.54,12.56,10.26,6.56,2.44,2.09,33.85,984800,1196,263,97,34,98,67,147,70,420,21.99,8.11,2.84,8.19,5.6,12.29,5.85,35.12,1316
"ACSSF","pa","140","00","0008824",,,,,"42","101",,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001001","Census Tract 10.01",,,"Census Tract 10.01, Philadelphia County, Pennsylvania","42101001001","229399","0",,,,,,,,1868,2809,1659,502,470,32,0,32,1157,277,880,30.26,28.33,1.93,0,1.93,69.74,16.7,53.04,1659,757,761,81,48,12,0,0,45.63,45.87,4.88,2.89,0.72,0,0,1.69,1659,1058,601,63.77,36.23,1058,977,81,92.34,7.66,1868,1659,209,88.81,11.19,209,126,0,83,60.29,0,39.71,1868,343,49,294,61,98,158,0,56,1152,0,0,18.36,2.62,15.74,3.27,5.25,8.46,0,3,61.67,0,0,1659,0,24,9,10,309,282,303,196,43,483,0,1.45,0.54,0.6,18.63,17,18.26,11.81,2.59,29.11,493500,577,0,0,0,0,24,4,303,246,0,0,0,0,4.16,0.69,52.51,42.63,1930
"ACSSF","pa","140","00","0008825",,,,,"42","101",,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001002","Census Tract 10.02",,,"Census Tract 10.02, Philadelphia County, Pennsylvania","42101001002","471655","0",,,,,,,,2486,3693,2046,799,739,60,0,60,1247,448,799,39.05,36.12,2.93,0,2.93,60.95,21.9,39.05,2046,1001,703,148,166,28,0,0,48.92,34.36,7.23,8.11,1.37,0,0,1.78,2046,1445,601,70.63,29.37,1445,1209,236,83.67,16.33,2486,2046,440,82.3,17.7,440,92,63,285,20.91,14.32,64.77,2486,866,83,783,83,203,322,139,51,822,0,0,34.84,3.34,31.5,3.34,8.17,12.95,5.59,2.05,33.07,0,0,2046,0,17,159,22,183,238,687,78,18,644,0,0.83,7.77,1.08,8.94,11.63,33.58,3.81,0.88,31.48,666000,582,0,0,0,0,48,73,275,186,0,0,0,0,8.25,12.54,47.25,31.96,1809
"ACSSF","pa","140","00","0008826",,,,,"42","101",,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001101","Census Tract 11.01",,,"Census Tract 11.01, Philadelphia County, Pennsylvania","42101001101","174011","0",,,,,,,,2541,4217,2404,698,581,117,0,117,1706,628,1078,29.03,24.17,4.87,0,4.87,70.97,26.12,44.84,2404,1319,848,166,43,0,24,4,54.87,35.27,6.91,1.79,0,1,0.17,1.56,2404,554,1850,23.04,76.96,554,429,125,77.44,22.56,2541,2404,137,94.61,5.39,137,0,38,99,0,27.74,72.26,2541,579,103,476,156,346,195,498,161,606,0,0,22.79,4.05,18.73,6.14,13.62,7.67,19.6,6.34,23.85,0,0,2404,0,40,18,101,203,353,246,124,183,1136,0,1.66,0.75,4.2,8.44,14.68,10.23,5.16,7.61,47.25,450800,1850,101,247,113,155,554,157,362,161,5.46,13.35,6.11,8.38,29.95,8.49,19.57,8.7,1139
"ACSSF","pa","140","00","0008827",,,,,"42","101",,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001102","Census Tract 11.02",,,"Census Tract 11.02, Philadelphia County, Pennsylvania","42101001102","204063","0",,,,,,,,1688,2669,1459,651,602,49,33,16,808,344,464,44.62,41.26,3.36,2.26,1.1,55.38,23.58,31.8,1459,580,722,58,74,25,0,0,39.75,49.49,3.98,5.07,1.71,0,0,1.82,1459,767,692,52.57,47.43,767,615,152,80.18,19.82,1688,1459,229,86.43,13.57,229,57,25,147,24.89,10.92,64.19,1688,566,37,529,14,89,531,223,143,122,0,0,33.53,2.19,31.34,0.83,5.27,31.46,13.21,8.47,7.23,0,0,1459,0,31,74,30,107,295,61,97,25,739,0,2.12,5.07,2.06,7.33,20.22,4.18,6.65,1.71,50.65,614300,671,0,0,24,11,83,261,139,153,0,0,3.58,1.64,12.37,38.9,20.72,22.8,1458
"ACSSF","pa","140","00","0008828",,,,,"42","101",,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001201","Census Tract 12.01",,,"Census Tract 12.01, Philadelphia County, Pennsylvania","42101001201","327555","30728",,,,,,,,2296,4243,2083,743,730,13,0,13,1340,689,651,35.67,35.05,0.62,0,0.62,64.33,33.08,31.25,2083,869,736,141,261,0,76,0,41.72,35.33,6.77,12.53,0,3.65,0,2.03,2083,913,1170,43.83,56.17,913,796,117,87.19,12.81,2296,2083,213,90.72,9.28,213,139,0,74,65.26,0,34.74,2296,948,111,837,160,152,717,210,66,43,0,0,41.29,4.83,36.45,6.97,6.62,31.23,9.15,2.87,1.87,0,0,2083,0,0,85,95,107,120,195,59,116,1306,0,0,4.08,4.56,5.14,5.76,9.36,2.83,5.57,62.7,779500,1093,0,0,0,14,203,231,448,197,0,0,0,1.28,18.57,21.13,40.99,18.02,1610
