Incident Date,Complaint ID,Date Received,District,Classification,Summary
6/14/20,20-0328,2020-06-25 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 6-14-20 at 2:00 PM, they did not receive proper service from officers while in the confines of the 1st District."
6/7/20,20-0340,2020-06-26 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-7-20 at 1:00 PM, they observed a social media policy violation by an officer assigned to the 1st District."
,20-0342,2020-06-30 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to the 1st District, violated the social media policy."
10/8/20,20-0541,2020-10-16 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-8-20 at 7:30 PM, officers violated departmental policies while in the confines of the 1st District."
3/8/21,21-0117,2021-03-16 04:00:00+00,1,LACK OF SERVICE,"The complainant states that on 3-8-21 at 3:00 PM, while in the confines of the 1st District, they observed an officer driving up to their car, which was parked on the sidewalk in front of a garage. The complainant ran up to the officer because it appeared to them that the officer was going to hit their car. When the officer told the complainant to park their car correctly, they complied. After inquiring about the damages to the car, the complainant informed the officer that they would not be driving the car until it gets fixed on Friday. Thirty minutes later, the complainant¿s vehicle was towed. The complainant called the 1st District and spoke to the officer who explained why the car was towed. The complainant also states that they were never provided with a ticket or warning before their car was towed."
7/14/20,20-0376,2020-07-20 04:00:00+00,1,HARASSMENT,"According to the complainant, on 7-14-20 at 3:00 PM, they are being harassed by an off-duty police supervisor assigned to the 1st District."
3/5/21,21-0132,2021-03-19 04:00:00+00,1,CIVIL RIGHTS COMPLAINT,"The complainant, on behalf of family members, state they were verbally abused, racially profiled, improperly stopped and departmental policies were violated by Highway Patrol Officers while in the confines of the 1st District. On 3-5-21 at 7:42 PM, officers stopped a family member on the highway. The complainant states an officer said, ¿Where the drugs? Where the guns?¿ The complainant states they arrived on location with another family member after they were notified of the stop. An officer said to a family member, ¿Get the f*ck away from the car. Don¿t touch the mother f*cking door.¿ When the complainant¿s family member asked the officers for their badge numbers, an officer said, ¿I¿m not giving you nothing.¿ When the complainant requested a supervisor, an officer said, ¿You got a phone call them your damn self.¿"
10/10/17,18-0368,2018-07-30 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 10-10-17, they did not receive proper service from an officer assigned to the Traffic District."
7/27/18,18-0380,2018-08-03 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-27-18 at 6:24pm, they were falsely arrested by a detective assigned to Central Detective Division."
5/18/19,19-0263,2019-06-03 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-18-19 at 1:03 PM, they are missing property and were improperly stopped/detained by an officer assigned to the 1st District."
5/24/19,19-0278,2019-06-11 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainants, on 5-24-19 at 9:15 PM, they were physically and verbally abused by an officer while in the confines of the 3rd District."
11/2/20,20-0577,2020-11-10 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 11-2-20 at 10:28 PM, they were tasered by officers then 302¿d without justification. The complainant also states they had their vehicle at the time of this police encounter and have not been able to locate their vehicle since."
8/15/18,18-0409,2018-08-17 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-15-18 at 9:15pm, their property was damaged by officers assigned to the 1st District."
6/20/19,19-0308,2019-06-25 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 6-20-19 at 3:10 PM, they were physically abused by officers while in the confines of the 1st District."
6/18/18,18-0458,2018-09-18 04:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-18-18 at 10:21pm, they were verbally abused by an officer assigned to the 1st District."
6/7/19,19-0347,2019-07-15 04:00:00+00,1,CRIMINAL ALLEGATION,"According to the complainant, on 6-7-19, an officer assigned to the 17th District, abused their child, abused their power of authority as an officer, as well as harassed the complainant."
12/12/19,19-0657,2019-12-16 05:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-12-19 at 2:00 PM, they were improperly stopped and searched by officers while in the confines of the 1st District."
12/19/19,19-0664,2019-12-23 05:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-19 at 9:20 PM, they were improperly stopped and searched by officers while in the confines of the 1st District."
9/22/18,18-0472,2018-09-28 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 9-22-18 at 1:00pm, an accident report was not properly and accurately prepared by an officer assigned to the 1st District.."
7/27/18,18-0494,2018-10-11 04:00:00+00,1,FALSIFICATION,"According to the complainant, on 7-27-18 at 12:00am, they were falsely arrested by officers assigned to the 1st District and a detective assigned to South Detective Division."
4/5/18,19-0671,2019-12-30 05:00:00+00,1,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 4-5-18, they were indecently touched by an officer assigned to the 1st District."
8/2/19,19-0399,2019-08-19 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 8-2-19 at 5:15 PM, they did not receive proper service from officers while in the confines of the 1st District."
12/24/20,20-0649,2020-12-31 05:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complaint, on 12-24-20 at 1:40 AM, they were stopped by police while double parked within the confines of the 1st District. The complainant states the officer said things like, ¿no shit Sherlock¿ and flipped them off."
8/3/19,20-0021,2020-01-17 05:00:00+00,1,HARASSMENT,"According to the complainant, on 8-3-19 at 7:17 PM, they did not receive proper service and have been harassed by an officer assigned to the 1st District."
1/13/20,20-0034,2020-01-23 05:00:00+00,1,CRIMINAL ALLEGATION,"According to the complainant, on 1-13-20 at 8:57 PM, they are missing property by an unknown officer, within the confines of the 1st District."
1/27/20,20-0047,2020-01-31 05:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-27-20 at 3:00 PM, they were verbally abused and their home was illegally searched and entered by officers while in the confines of the 1st District."
1/13/20,20-0050,2020-02-04 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 1-13-20 at 9:00 PM, they were physically abused by officers while in the confines of the 1st District."
10/15/18,18-0541,2018-11-09 05:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-15-18 at 9:11am, they did not receive proper service from an officer assigned to the 1st District."
8/1/19,19-0416,2019-08-23 04:00:00+00,1,VERBAL ABUSE,"According to the complainant, on 8-1-19 at 12:30 AM, they were verbally abused by an officer assigned to the 1st District."
8/29/19,19-0435,2019-09-03 04:00:00+00,1,VERBAL ABUSE,"According to the complainant, on 8-29-19 at 5:26 PM, they were verbally abused and did not receive proper service from an officer assigned to the 1st District"
2/20/20,20-0084,2020-02-24 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 2-20-20 at 6:00 PM, they were sexually harassed by an officer assigned to the Airport Unit."
11/12/18,18-0582,2018-11-29 05:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-12-18 at 1:00am, they were treated unprofessionally by officers assigned to the 1st District."
6/21/18,18-0585,2018-11-29 05:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-21-18, they were verbally abused by an officer assigned to the 3rd District."
9/6/19,19-0455,2019-09-16 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, 9-6-19 at 11:00 PM, they were falsely arrested and did not receive proper service from a South Detective Division detective and unknown officers assigned to the 1st District."
11/1/18,18-0619,2018-12-28 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 11-1-18 at 6:50pm, they were threatened with a weapon, verbally abused and improperly stopped by an officer assigned to the Traffic District."
8/27/19,19-0495,2019-09-26 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 8-27-19 at 12:35 AM, they were physically abused and racially profiled by officers assigned to the 1st District."
,19-0514,2019-10-09 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to the Delaware Valley Intelligence Center violated departmental policies while in the confines of the 1st District."
12/2/21,21-0570,2021-12-16 05:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-2-21 at 9:30 AM, while in the confines of the 1st District, they were at their family members funeral when two officer¿s entered. The complainant assumed they were there for a funeral detail, but later found out that this detail was not approved. The complainant states that the officers acted unprofessionally by never expressing their condolences to the family. The complainant states that one of the officers not only got into a verbal argument with them during the funeral but impeded the flow of funeral goers as well. The complainant¿s spouse later contacted the officers Commanding Officer regarding this incident. The complainant states that they became aware that one of the officers took a funeral day for an uncle; however, the deceased was not their uncle. The complainant also states that the Commanding Officer did not grant the officer permission to wear their uniform, but another supervisor did."
12/19/21,22-0016,2022-01-21 05:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 12-19-21 at 2:30 PM, while in the confines of the 1st District, they were threatened by a person with a gun. When the responding officer arrived, the complainant told the officer they saw a firearm. The officer became agitated and told the complainant that they did not see a firearm. A supervisor was called, and a sergeant arrived who also told the complainant that they never saw a firearm. The complainant requested another supervisor, and a lieutenant arrived. The complainant states that the responding lieutenant told them that they did not see a firearm. The complainant states that they told the lieutenant that they did see a firearm and that they were not changing their statement. The complainant states that the officer and supervisors failed to properly investigate this incident."
9/10/21,21-0445,2021-09-15 04:00:00+00,1,VERBAL ABUSE,"According to the complainant, on 9-10-21 at 11:48 AM, while in the confines of the 1st District, they parked their vehicle with their hazard lights on, outside their family member¿s school. As the complainant was coming out of the school, they saw an officer at their vehicle and politely tried to tell the officer that they were back from picking up their family member. The complainant states that the officer said very aggressively that they didn¿t care and continued to write the ticket. The complainant states that they wouldn¿t accept the ticket, so the officer yanked their windshield wiper and the slammed the ticket on their windshield."
2/18/21,21-0155,2021-04-01 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"On 2-18-21 at 7:20 AM, the complainant surrendered to police at the district for violating a Protection from Abuse Order. Before the complainant was transported to the roundhouse, an officer requested their phone and they complied. The complainant¿s phone was tampered with and the terroristic threats that they had received from their ex-spouse were erased, which would have cleared them. The complainant has credible proof that the phone was accessed during their time in police custody."
10/1/21,21-0474,2021-10-06 04:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-1-21 at 1:08 PM, while in the 1st District, they were stopped by police. The complainant states that they were involved in a road rage incident with an officer; the officer followed them for about ten miles before stopping them in an unsafe area of the highway. The complainant states that when the officer approached their vehicle, the officer looked as if they had not slept in days; they were clearly enraged and appeared to be having some sort of a breakdown. The complainant states that the officer spoke to them in an unprofessional manner and improperly issued them a ticket. When the complainant attempted to speak to the officer, the officer threw the ticket to them, before storming off and refusing to talk to them."
10/15/15,21-0355,2021-07-26 04:00:00+00,1,CRIMINAL ALLEGATION,"According to the complainant, on 10-15-15 at 1:00 PM, while in the confines of the 1st District, they were falsely arrested. The complainant states that a supervisor and officer, altered documents and lied under oath to arrest an innocent people."
7/9/21,21-0363,2021-08-03 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-9-21, while in the confines of the 1st District, they observed that after a neighbor parked and exited their vehicle, an officer paused behind the vehicle briefly and then left. A few minutes later, the officer walked back to the vehicle, accompanied by a tow truck driver. After the officer placed a ticket on the vehicle, the tow truck driver took the ticket and parked nearby. When the tow truck driver noticed the neighbor arrive back to their vehicle, they quickly backed into the vehicle, where a dispute then occurred. The complainant states that they walked over to the officer and mentioned that the car was being illegally towed. The officer told the complainant that they had it under control and that their assistance wasn¿t needed. When a supervisor arrived, the complainant began speaking to them and the officer told them to leave. The complainant states that the officer backed up the tow truck driver¿s story but when confronted in front of their supervisor, they denied saying any such thing."
4/3/21,22-0099,2022-03-14 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-3-21, while in the confines of the 1st District, their vehicle was swarmed by multiple patrol cars and unmarked police vehicles. The complainant states that they were not told why the officers had approached them but they were arrested for gun violations. The complainant had been approved to carry, months before Covid-19 and their appointment was three days after their arrest. The complainant states that they were held for twenty-four hours and that their case was dismissed within minutes, due to the judge and their lawyer coming to the agreement that it was a misunderstanding."
8/7/21,21-0394,2021-08-19 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 8-7-21 at 1:00 AM, while in the confines of the 1st District, they were involved in an auto accident. When the complainant called 911, they advised them to exchange information with the other driver involved. The complainant states that they told the 911 dispatcher that the other driver was intoxicated. The responding officer did not perform a sobriety check, allowed the driver to leave, and simply prepared the auto accident report."
3/22/22,22-0118,2022-03-28 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-22-22 at 1:00 PM, while in the confines of the 3rd District, they were conducting an inspection of a nail salon. During the inspection, an individual who identified themselves as an off-duty officer, stood up and told the complainant to leave. The officer told the complainant that they were causing a disturbance and asked for their credentials. The complainant states that the officer yelled at them and told them to be quiet. The officer continued to interfere in their inspection, claiming that the item in question was legal. The complainant states that the officer refused to go outside and discuss the issue and made a scene in the salon that was full of customers."
5/15/21,21-0242,2021-05-19 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 5-15-21 at 3:52 PM, while in the confines of the 1st District, they were verbally abused and did not receive proper service by an unknown officer. The complainant states that they called 911 after being involved in an auto accident. The officer arrived and acted aggravated. The complainant asked the officer to call for a supervisor. The officer told the complainant that they would not call for a supervisor and that they had to call themselves."
1/21/22,22-0316,2022-07-18 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 1-21-22, while in the confines of the 1st District, they did not receive proper service from a supervisor assigned to the South Patrol Division. They filed a complaint against police. The supervisor was assigned to the investigation. The complainant states that the officers lied and the supervisor failed to conduct a thorough investigation."
8/10/22,22-0364,2022-08-15 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-10-22 at 3:00 AM, while in confines of the 1st District, they were walking home, they noticed a patrol car, with the lights on, parked on the corner near their home. The complainant knocked on the window of the patrol car to make sure everything was okay and found that the officer was taking a nap."
5/12/22,22-0227,2022-05-25 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 5-12-22 at 11:45 AM, while in the confines of the 1st District, an officer responded, along with an Inspector assigned to the License and Inspection Unit, to a 911 call. The complainant states that they were on location to remove their fence. The complainant states that despite the fact that they provided court documentation to show that the fence issue was still an active case, the officer allowed the fence to come down and sided with the other party."
9/21/22,22-0447,2022-09-28 04:00:00+00,1,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-21-22 at 12:00 PM, their child, who has a mental disability, was being interviewed by a detective assigned to South Detectives Division. During the interview, the detective made jokes about their child getting beat up. When the detective asked their child for their zip code, they did not know the answer. The detective became upset, told their child to leave and told the complainant to bring them back when they have a better attitude because they could not do anything with ¿I don¿t know¿ responses. After the complainant explained to the detective their child¿s disability, they resumed the interview but did not allow them to sit in during the interview with their child."
7/6/22,22-0306,2022-07-11 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainants, on 7-6-22 at 5:00 PM, while in the confines of the 1st District, they did not receive proper service and were threatened by a 1st District officer. They called 911 after a dispute with a neighbor. An officer responded. The complainant states that the officer witnessed their neighbor threaten them and spit in the complainant¿s face. The officer did not do anything to stop the neighbor and took their neighbor¿s side. The officer pulled out a taser twice and threatened to use the taser on one of them."
12/23/16,17-0025,2017-01-24 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 12-23-16 at 5:30am, they did not receive proper service from officers assigned to the 2nd District."
1/24/17,17-0038,2017-02-01 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 1-24-17 at 7:40pm, they did not receive proper service from officers assigned to the 2nd District."
,17-0101,2017-03-09 05:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, proper police procedures were not followed by a commander assigned to Internal Affairs."
11/25/16,17-0138,2017-03-28 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 11-25-16 at 11:30am, they did not receive proper service from a detective assigned to Northwest Detectives."
3/18/17,17-0139,2017-04-17 04:00:00+00,2,CRIMINAL ALLEGATION,"According to the complainant, as of 3-18-17, they have not received proper service from a commander assigned to Internal Affairs."
2/19/17,17-0151,2017-04-05 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 2-19-17 at 4:15pm, they did not receive proper service from a officer assigned to the 2nd District."
4/9/17,17-0179,2017-05-03 04:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainants, on 4-9-17 at 1:56am, an officer assigned to the 2nd District, falsified information to arrest them."
,17-0274,2017-06-06 04:00:00+00,2,HARASSMENT,"According to the complainant, an off-duty police officer is violating several city ordinances and the motor vehicle code. This incident occurred in the confines of the 2nd District."
4/13/17,17-0300,2017-06-14 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 4-13-17 at 7:30pm, they did not receive proper service from an officer assigned to the 2nd District."
6/5/17,17-0310,2017-06-21 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-5-17 at 8:30pm,they were treated unprofessionally by an officer assigned to the 2nd District."
,17-0331,2017-06-22 04:00:00+00,2,DRUGS,"According to the complainant, in April of 2017, departmental policies were violated by two unidentified 2nd District officers."
6/24/17,17-0339,2017-07-03 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-24-17, they did not receive proper service from a officer assigned to Neighborhood Services Unit. This incident occurred in the confines of the 2nd District."
,17-0351,2017-07-10 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, an off-duty officer assigned to the 12th District is abusing their authority. The complainant also stated they did not receive proper service from a radio dispatcher assigned to the Radio Room."
7/8/17,17-0362,2017-07-13 04:00:00+00,2,PHYSICAL ABUSE,"According to the complainant, on 7-8-17 at 2:30pm, they were physically abused by officers assigned to the 2nd District."
7/26/17,17-0398,2017-08-02 04:00:00+00,2,PHYSICAL ABUSE,"According to the complainant, on 7-26-17 at 4:00am, they were falsely detained and physically abused by an officer assigned to the 35th District."
8/1/17,17-0410,2017-08-09 04:00:00+00,2,CRIMINAL ALLEGATION,"According to the complainant, on 8-1-17 at 10:00am, they are missing property and was harassed by an officer assigned to the 2nd District."
8/6/17,17-0412,2017-08-10 04:00:00+00,2,DOMESTIC,"According to the complaint, on 8-6-17 at 2:30pm, their family member was assaulted by an off duty officer assigned to the 39th District. This incident occurred in the confines of the 2nd District."
8/12/17,17-0423,2017-08-16 04:00:00+00,2,CRIMINAL ALLEGATION,"According to the complainant, on 8-12-17 at 7:15pm, they observed an off duty officer abusing a dog. The officer is assigned to the 22nd District. This incident occurred in the confines of the 2nd District."
8/11/17,17-0428,2017-08-23 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 8-11-17 at 6:40pm, they were verbally abused and harassed by a supervisor and officer assigned to the 2nd District."
8/13/17,17-0430,2017-08-24 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 8-13-17 at 6:00pm, they did not receive proper service a supervisor and officers assigned to the 2nd District."
8/25/17,17-0442,2017-09-08 04:00:00+00,2,PHYSICAL ABUSE,"According to the complainant, on 8-25-17 at 8:00am, they were physically abused by officers, entry was forced into their residence and their property was damaged. The officers are assigned to Criminal Intelligence. This incident occurred in the confines of 2nd District."
7/26/17,17-0444,2017-09-05 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 7-26-17 at 1:00pm, they were treated unprofessionally and did not receive proper service from an officer assigned to Traffic District. This incident occurred in the confines of the 15th District."
9/1/17,17-0464,2017-09-25 04:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 9-1-17 at 3:00pm, proper police procedures were not followed by an officer assigned to Narcotics Strike Force. This incident occurred in the confines of the 2nd District."
9/24/17,17-0494,2017-10-05 04:00:00+00,2,DOMESTIC,"According to the complainant, on 9-24-17 at 11:15pm, they were assaulted by an off duty officer assigned to the 18th District. This incident occurred in the confines of the 2nd District."
10/8/17,17-0514,2017-10-16 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-8-17 at 8:39pm, they were treated unprofessionally by officers assigned to the 2nd District."
10/6/17,17-0516,2017-10-13 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 10-6-17 at 3:00am, they were treated unprofessionally by an 911 Dispatcher."
9/28/17,17-0522,2017-10-18 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 9-28-17 at 3:00pm, a School Crossing Guard is unprofessional in their treatment of pedestrians and motorists in the 2nd Police District."
,17-0529,2017-10-23 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 2nd District."
10/28/17,17-0591,2017-11-21 05:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 10-28-17 at 7:05pm, they were verbally abused by an officer assigned to Highway Patrol. The incident occurred in the confines of the 2nd District."
1/13/18,18-0022,2018-01-19 05:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-13-18 at 6:56pm, they were treated rudely by officers assigned to Highway Patrol."
1/11/18,18-0030,2018-01-23 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 1-11-18 at 2:00pm,they did not receive proper service from an officer assigned to the 2nd District."
2/20/18,18-0078,2018-02-27 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 2-20-18 at 8:45pm, they did not receive proper service from the officers assigned to the 2nd District."
2/23/18,18-0088,2018-03-02 05:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 2-23-18 at 7:10pm, they were treated with rude behavior by an officer assigned to the 2nd District."
3/5/18,18-0122,2018-03-20 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 3-5-18 at 2:45pm, they did not receive proper service from an officer assigned to the 2nd District."
,18-0179,2018-04-17 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, in February 2018, proper police procedures were not followed by officers assigned to the 2nd District."
5/22/18,18-0241,2018-05-25 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 5-22-18 at 3:10pm, they were verbally abused by an officer assigned to the 2nd District."
6/13/18,18-0274,2018-06-15 04:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-13-18 at 6:21pm, they did not receive proper service from a 911 dispatcher assigned to the Radio Room."
5/18/18,18-0316,2018-07-02 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-18-18, they were treated unprofessionally and did not receive proper service from a detective assigned to Northeast Detective Division."
